profile_id,sample_index,sample_seed,accepted,max_cr,error,offending_paths
P2,169,18000211,True,0.07766796681354826,,
P2,170,18000212,True,0.050030283705728054,,
P2,171,18000213,True,0.06675354932730453,,
P2,172,18000214,True,0.08579005216950246,,
P2,173,18000215,True,0.054171346197187845,,
P2,174,18000216,True,0.04392817333431496,,
P2,175,18000217,True,0.041283151631165874,,
P2,176,18000218,True,0.03987465333721218,,
P2,177,18000219,True,0.05894135265201361,,
P2,178,18000220,True,0.046206797548404545,,
P2,179,18000221,True,0.043369923287977445,,
P2,180,18000222,True,0.04608994536320838,,
P2,181,18000223,True,0.03156010108894889,,
P2,182,18000224,True,0.04437786856334945,,
P2,183,18000225,True,0.04054795954053451,,
P2,184,18000226,True,0.05968678022035025,,
P2,185,18000227,True,0.05716592585660711,,
P2,186,18000228,True,0.03486242840559644,,
P2,187,18000229,True,0.04325994644068337,,
P2,188,18000230,True,0.0411331763061798,,
P2,189,18000231,True,0.03597280851848031,,
P2,190,18000232,True,0.05051579973437594,,
P2,191,18000233,True,0.057959193788668234,,
P2,192,18000234,True,0.034691554818583284,,
P2,193,18000235,True,0.03266314567613554,,
P2,194,18000236,True,0.08206925638169948,,
P2,195,18000237,True,0.03695570128514356,,
P2,196,18000238,True,0.04439817748341864,,
P2,197,18000239,True,0.03055885925462294,,
P2,198,18000240,True,0.05355287727970773,,
P2,199,18000241,True,0.044092779476877016,,
P3,0,18200042,True,0.06938396529079649,,
P3,1,18200043,True,0.03333843388617083,,
P3,2,18200044,True,0.08977002762895449,,
P3,3,18200045,True,0.025795641970044074,,
P3,4,18200046,True,0.031009656373868405,,
P3,5,18200047,True,0.05277129795786687,,
P3,6,18200048,True,0.04988702252215143,,
P3,7,18200049,True,0.05843813150389649,,
P3,8,18200050,True,0.08767494079674962,,
P3,9,18200051,True,0.05106787598900323,,
P3,10,18200052,True,0.03718726740274448,,
P3,11,18200053,True,0.059533285311214254,,
P3,12,18200054,True,0.0358588272871071,,
P3,13,18200055,True,0.03480876948036103,,
P3,14,18200056,True,0.03215393630797028,,
P3,15,18200057,True,0.03792242625351462,,
P3,16,18200058,True,0.023129820300994055,,
P3,17,18200059,True,0.05446036056499379,,
P3,18,18200060,True,0.065460752366371,,
P3,19,18200061,True,0.04267421057609874,,
P3,20,18200062,True,0.05963043601279174,,
P3,21,18200063,True,0.056222678385819874,,
P3,22,18200064,True,0.030941933140150667,,
P3,23,18200065,True,0.029851497576888902,,
P3,24,18200066,True,0.07265812556275075,,
P3,25,18200067,True,0.09523705271589793,,
P3,26,18200068,True,0.04357471460100805,,
P3,27,18200069,True,0.0367923719938604,,
P3,28,18200070,True,0.033427755536204334,,
P3,29,18200071,True,0.03215393630797127,,
P3,30,18200072,True,0.04978830878039926,,
P3,31,18200073,True,0.059248853926809154,,
P3,32,18200074,True,0.03275868116529719,,
P3,33,18200075,True,0.03669527398756646,,
P3,34,18200076,True,0.04080700511114075,,
P3,35,18200077,True,0.047693963683516395,,
P3,36,18200078,True,0.07683151480120472,,
P3,37,18200079,True,0.04964358076951965,,
P3,38,18200080,True,0.032200223732854284,,
P3,39,18200081,True,0.03158989075713612,,
P3,40,18200082,True,0.0342591645761591,,
P3,41,18200083,True,0.04327633649880256,,
